code[tab]nom, synonyme 1, synonyme 2[tab](indication)[tab]autres champs non utilisés

E100-Curcumine, Turmérique	(Turmérique)
E713-Tylosine Antibiotique	(Tylosine Antibiotique)	
E900-Polydiméthylsiloxane, Diméthicone	(Polydiméthylsiloxane (Diméthicone))
E900a-Polydiméthylsiloxane	(Polydiméthylsiloxane, antimoussant, anti-agglomérant, émulsifiant)
E900b-Méthylphenylpolisiloxane	(Méthylphenylpolisiloxane, antimoussant)
E901-Cire d'abeille, Cire d'abeille alimentaire, Cire d'abeille blanchâtre, Cire d'abeille jaunâtre, Cire blanche, cire jaune, Cire d'abeilles, Cire d'abeille blanche et jaune	(Cire d'abeille blanchâtre, Cire d'abeille jaunâtre)
E902-Cire de Candelilla	(Cire de Candelilla)
E903-Cire de carnauba, Cire d'abeille jaunâtre	(Cire de carnauba, Cire d'abeille jaunâtre)
E904-Gomme-laque, gomme laque, Shellac, gomme shellac	(Gomme-laque, Shellac)
E905-Paraffine, Cire microcristalline, Cire de pétrole, Paraffine synthétique, Paraffines, Cire d'hydrocarbure, Cire Fischer-Tropsch, Cire synthétique, 905c(i)	(Huile minérale, Paraffine)
E905a-Huile minérale de qualité alimentaire	(Huile minérale de qualité alimentaire, agent de glaçage, agent de conditionnement hermétique)
E905b-Vaseline, Petrolatum	(Vaseline (Petrolatum), agent de glaçage, agent de conditionnement hermétique, antimoussant)
E905c-Cire de pétrole, Cire microcristalline, Cire de paraffine	(Cire de paraffine, agent de glaçage)
E905d-Paraffine liquide, Petrolatum liquide, Huile minérale de qualité alimentaire, Huile min. blanche	(Huile minérale, viscosité élevée agent de glaçage, agent de conditionnement hermétique)
E905e- catégorie I	(Huile minérale, viscosité moyenne et faible (catégorie I), agent de glaçage, agent de conditionnement hermétique)
E905f- (Huile minérale, viscosité moyenne et faible (catégorie II), agent de glaçage, agent de conditionnement hermétique)
E905g- (Huile minérale, viscosité moyenne et faible (catégorie III), agent de glaçage, agent de conditionnement hermétique)
E906-Gomme benzoïque, Gomme benjoin, Gomme de benjoin, gum storax, gum benzoin, gum benjamin	(Gomme benzoïque)
E907-Poly-1-décène hydrogéné	(Poly-1-décène hydrogéné)
E908-Cire de son de riz	(Cire de son de riz)
E909-Cire de blanc de baleine	(Cire de blanc de baleine, agent de glaçage)
E910-Esters de cires	(Esters de cires, agent de glaçage)
E911-Esters méthyliques d'acides gras	(Esters méthyliques d'acides gras, agent de glaçage)
E912-Ester de l'acide montanique	(Ester de l'acide montanique)
E913-Lanoline	(Lanoline)
E914-Cire de polyéthylène oxydée	(Cire de polyéthylène oxydée)
E915-Esters de colophane	(Esters de colophane)
E916-Iodate de calcium	(Iodate de calcium, agent de traitement des farines)
E917-Iodate de potassium	(Iodate de potassium, agent de traitement des farines)
E918-Oxydes d'azote	(Oxydes d'azote, agent de traitement des farines)
E919-Chlorure de nitrosyle	(Chlorure de nitrosyle, agent de traitement des farines)
E920-L-Cystéine et ses chlorhydrates, L-Cystéine, Cystéine	(L-Cystéine et ses chlorhydrates)
E921Cystine	(Cystine)
E922-Persulfate de potassium	(Persulfate de potassium)
E923-Persulfate d'ammonium	(Persulfate d'ammonium)
E924-Bromate de potassium	(Bromate de potassium)
E924a-Bromate de potassium	(Bromate de potassium, agent de traitement des farines)
E924b-Bromate de calcium	(Bromate de calcium, agent de traitement des farines)
E925-Chlore	(Chlore)
E926-Dioxyde de chlore	(Dioxyde de chlore)
E927-Azoformamide, Azodicarbonamide	(Azoformamide, Azodicarbonamide)
E927a-Azoformamide	(Azoformamide)
E927b-Carbamide, Urée	(Carbamide, Urée)
E928-Peroxyde de benzoyle	(peroxyde de benzoyle)
E929-Peroxyde d’acétone	(Peroxyde d’acétone, agent de traitement des farines)
E930-peroxyde de Calcium	(peroxyde de Calcium)
E931-Nitrogène	(Diazote, Nitrogène (anc.))
E932-Oxyde d'azote	(Oxyde d'azote)
E938-Argon	(Argon)
E939-Hélium	(Hélium)
E940-Dichlorodifluorométhane	(Dichlorodifluorométhane)
E941-	(Diazote)
E942-Protoxyde d'azote, oxyde nitreux, hémioxyde d'azote, gaz hilarant, N2O, Oxyde de diazote	(Protoxyde d'azote)
E943a-Butane	(Butane)
E943b-Isobutane	(Isobutane)
E944-Propane	(Propane)
E945-Chloropentafluoroéthane	(Chloropentafluoroéthane)
E946-Octafluorocyclobutane	(Octafluorocyclobutane)
E948-Dioxygène	(Dioxygène)
E949-Dihydrogène	(Dihydrogène)
E950-Acésulfame K, Acésulfame-K, acésulfame de potassium, Acésulfame potassium, sel de potassium de l'acésulfame, Ace K, Acesulfamo-k	(Acésulfame K)
E962-Sel d'aspartame-acésulfame	(Sel d'aspartame-acésulfame)
E951-Aspartame, APM, Aspartyl phenylalanine methyl ester, L-Aspartyl-L-phenylalaninemethyl ester	(Aspartame)
E952-Acide cyclamique et ses sels, cyclamates, Acide cyclamique, Cyclamate de calcium, Cyclamate de potassium, Cyclamate de sodium	(Cyclamate de sodium, édulcorant)
E953-Isomalt	(Isomalt)
E954-Saccharine et ses sels, saccharinates, Saccharine, Saccharine de calcium, Saccharine de potassium, Saccharine de sodium, sels de Saccharine, saccharinate de calcium, saccharinate de potassium, saccharinate de sodium, Sulphimide benzoïque	(Saccharine et ses sels de sodium et potassium et calcium , édulcorant)
E955-Sucralose	(Sucralose)
E956-Alitame	(Alitame)
E957-Thaumatine, thaumatines, Thaumatin	(Thaumatine)
E958-Acide glycyrrhizique et sels, Glycyrrhizine, Liquorice	(Acide glycyrrhizique et sels, Glycyrrhizine, Liquorice)
E959-Néohespéridine dihydrochalcone, NHDC	(Néohespéridine dihydrochalcone (NHDC))
E960-Glucosides de stéviol, stévioside, rébaudioside A, extrait de stévia, glycosides de stéviol, Stévioside, extrait de feuille de Stévia, Stévia	(Glucosides de stéviol (stévioside et rébaudioside A), extrait de stévia, édulcorant)
E961-Néotame	(Néotame)
E963-Tagatose	(Tagatose, D-, édulcorant)
E964-Sirop de polyglycitol	(Sirop de polyglycitol, édulcorant)
E965-Maltitol, Sirop de maltitol	(Sirop de maltitol)
E966-Lactitol	(Lactitol)
E967-Xylitol	(Xylitol)
E968-Érythritol	(Érythritol)
E999-Extraits de quillaia, Extrait de quillaia de type 1, Extrait de quillaia de type 2, Extrait de quillaia type 1, Extrait de quillaia type 2, Extrait de quillaia, quillaia extract	(Extrait de quillaia de type 2, agent moussant, émulsifiant)
E570-Acide stéarique, Stéarine, acides gras, Acide octanoïque, Acide décanoïque, Acide dodécanoïque, Acide tétradécanoïque, Acide hexadécanoïque, Acide octadécanoïque, Acide cis-9-octadécénoïque	(Acide stéarique, Stéarine)
Exxx-ROUGE CITRIN NO 2, rouge citrin n°2, rouge citrin numéro 2	(ROUGE CITRIN NO 2)
